INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
299257997,01/11/2025,03:55:00,QUEENS,OUTSIDE,114,0,STREET,BAR/NIGHT CLUB,N,25-44,M,BLACK,25-44,M,BLACK,1009970,220539,40.771977,-73.90714,POINT (-73.90714 40.771977)
301609655,02/24/2025,16:49:00,BRONX,OUTSIDE,40,0,STREET,(null),N,18-24,M,BLACK,25-44,M,BLACK,1008608,238678,40.821769,-73.911993,POINT (-73.911993 40.821769)
303829751,03/29/2025,07:13:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1012956,183568,40.67048191,-73.89651898,POINT (-73.89651898 40.67048191)
300566188,02/04/2025,12:20:00,MANHATTAN,OUTSIDE,10,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK,982756,210139,40.74347,-74.005392,POINT (-74.005392 40.74347)
298949942,01/03/2025,17:30:00,BRONX,OUTSIDE,44,0,STREET,(null),Y,25-44,M,BLACK HISPANIC,<18,M,WHITE HISPANIC,1007076,246675,40.843722,-73.917502,POINT (-73.917502 40.843722)
300951837,02/11/2025,15:57:00,BRONX,OUTSIDE,47,0,STREET,(null),N,(null),(null),(null),<18,M,BLACK,1024398,266422,40.897859,-73.854775,POINT (-73.854775 40.897859)
302377352,03/10/2025,22:40:00,QUEENS,OUTSIDE,113,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1040051,185174,40.674760700918625,-73.79883235293225,POINT (-73.79883235293225 40.674760700918625)
300412111,02/01/2025,23:25:00,BROOKLYN,OUTSIDE,90,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1000063,196456,40.70588893014622,-73.94296613233054,POINT (-73.94296613233054 40.70588893014622)
298949943,01/05/2025,07:19:00,BROOKLYN,INSIDE,60,0,DWELLING,MULTI DWELL - APT BUILD,Y,25-44,M,BLACK,25-44,M,BLACK,984091,149559,40.577192,-74.000571,POINT (-74.000571 40.577192)
301565779,02/23/2025,23:41:00,BRONX,INSIDE,43,0,DWELLING,MULTI DWELL - APT BUILD,N,18-24,M,BLACK,45-64,F,WHITE HISPANIC,1024656,245412,40.840191,-73.85397,POINT (-73.85397 40.840191)
298877584,01/04/2025,00:43:00,BROOKLYN,OUTSIDE,75,0,COMMERCIAL,BAR/NIGHT CLUB,N,45-64,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC,1015628,186760,40.679244,-73.886873,POINT (-73.886873 40.679244)
301565779,02/23/2025,23:41:00,BRONX,INSIDE,43,0,DWELLING,MULTI DWELL - APT BUILD,N,<18,M,BLACK,45-64,F,WHITE HISPANIC,1024656,245412,40.840191,-73.85397,POINT (-73.85397 40.840191)
300341223,01/31/2025,11:55:00,BROOKLYN,OUTSIDE,79,0,STREET,(null),N,25-44,M,BLACK,25-44,F,WHITE HISPANIC,995261,191567,40.692485,-73.960292,POINT (-73.960292 40.692485)
300318397,01/30/2025,14:29:00,BRONX,OUTSIDE,48,0,STREET,(null),N,18-24,M,BLACK HISPANIC,18-24,M,BLACK HISPANIC,1016057,247615,40.846273,-73.885036,POINT (-73.885036 40.846273)
301273671,02/18/2025,01:23:00,BROOKLYN,INSIDE,75,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,BLACK,25-44,M,BLACK,1015085,178381,40.656246,-73.888868,POINT (-73.888868 40.656246)
300061442,01/26/2025,04:27:00,BROOKLYN,OUTSIDE,63,0,STREET,BAR/NIGHT CLUB,N,(null),(null),(null),25-44,F,BLACK,1006666,171739,40.638041,-73.919232,POINT (-73.919232 40.638041)
298877583,01/03/2025,19:33:00,BROOKLYN,OUTSIDE,60,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,985975,148995,40.575643,-73.99379,POINT (-73.99379 40.575643)
303861624,03/29/2025,13:21:00,BROOKLYN,OUTSIDE,81,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),18-24,M,BLACK,1000876,191778,40.693058,-73.940046,POINT (-73.940046 40.693058)
298950447,01/05/2025,21:25:00,BROOKLYN,OUTSIDE,75,0,COMMERCIAL,GROCERY/BODEGA,N,(null),(null),(null),<18,M,BLACK,1019406,184339,40.672585,-73.873262,POINT (-73.873262 40.672585)
303338555,03/20/2025,16:05:00,BRONX,INSIDE,47,0,DWELLING,MULTI DWELL - APT BUILD,Y,18-24,M,BLACK,25-44,M,BLACK,1026783,262923,40.888244,-73.846171,POINT (-73.846171 40.888244)
301923239,03/01/2025,03:20:00,MANHATTAN,OUTSIDE,9,0,COMMERCIAL,BAR/NIGHT CLUB,Y,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,986120,203392,40.724951,-73.993251,POINT (-73.993251 40.724951)
299001015,01/06/2025,14:20:00,BRONX,OUTSIDE,45,0,STREET,(null),N,(null),(null),(null),<18,M,BLACK,1031237,257081,40.872188,-73.830103,POINT (-73.830103 40.872188)
